CONNECTION ID,# EDGES,EDGE IDS
road712,1,154540890
road713,1,2514019#0
road714,1,-2483868#0
road715,4,-2483868#1,-2483868#2,2483868#1,2483868#2
road716,1,154540889#0
road717,1,2483868#2
road718,2,-2417071#1,-39939643
road719,18,-2417071#2,-39939641#0,-39939641#1,-39939641#2,-458181878#0,-458181878#1,-458181878#2,-675062806,-675062807,2417071#2,39939641#0,39939641#1,39939641#2,458181878#0,458181878#1,458181878#2,675062806,675062807
road720,3,-458181878#2,2417071#3,458181878#1
road721,1,-18122230#0
road722,2,-18122230#1,18122230#1
road723,1,-586604815
road724,1,18122230#2
road725,1,-18122224#2
road726,10,-18122224#3,-18122224#4,-18122224#5,-2499080#1,-2499080#2,18122224#3,18122224#4,18122224#5,2499080#1,2499080#2
road727,3,-2499080#0,-2499081#1,18122224#5
road728,1,22812252
road729,1,-22812252
road730,1,-5067436#0
road731,2,-6012205#2,5067436#1
road732,1,5067437
road733,2,-5067436#1,6012205#2
